Theta,F_(11)(Theta)//(4pi),F_(21)(Theta)//(4pi),F_(33)(theta)//(4pi),F_(43)(theta)//(4pi)
0,1038.586555,0,1038.586555,0
0.1,729.9954855,0.01084466,729.9954211,-0.08393624
0.2,367.4861422,0.01882806,367.4858197,-0.10660837
0.3,234.2906826,0.01900419,234.2903061,-0.09095643
0.4,170.2241917,0.02027279,170.2239268,-0.08139495
0.5,134.2422426,0.02100149,134.2420568,-0.07454796
0.6,110.9352312,0.02161498,110.9350476,-0.06820239
0.7,94.66794373,0.021718,94.6677556,-0.06338273
0.8,82.74778672,0.02185928,82.74760029,-0.05929253
0.9,73.53104,0.02192362,73.53085527,-0.05552735
1,66.20959122,0.02179623,66.20940803,-0.05244306
1.1,60.21527226,0.02165912,60.21508743,-0.04985548
1.2,55.16705764,0.02141765,55.16686843,-0.04736301
1.3,50.8797074,0.02105301,50.87951462,-0.04521855
1.4,47.15594612,0.02075349,47.15575166,-0.04331847
1.5,43.87854871,0.02041597,43.87834934,-0.04150176
1.6,40.9634845,0.01998886,40.96328157,-0.03991798
1.7,38.34348678,0.01959579,38.34328042,-0.03842861
1.8,35.98075462,0.01921136,35.98054432,-0.03707574
1.9,33.82439667,0.0188024,33.8241832,-0.0358877
2,31.8502003,0.01837342,31.84998384,-0.03471952
2.1,30.02601589,0.01787219,30.02579544,-0.03369162
2.2,28.34341236,0.0173749,28.34319018,-0.0326472
2.3,26.78135964,0.01690195,26.78113489,-0.0316789
2.4,25.33011257,0.01640445,25.32988584,-0.03079584
2.5,23.9755186,0.0160198,23.97529132,-0.02990344
2.6,22.70728479,0.01550726,22.70705725,-0.02909547
2.7,21.51971972,0.01502257,21.51949301,-0.02833244
2.8,20.40525723,0.01457466,20.40503302,-0.02762227
2.9,19.36037432,0.01410124,19.36015266,-0.02695937
3,18.377947,0.01365109,18.37772827,-0.02623931
3.1,17.45446771,0.01317187,17.45425277,-0.02562898
3.2,16.58347216,0.01266409,16.58326048,-0.02505621
3.3,15.76301372,0.01225618,15.76280596,-0.02446003
3.4,14.98827886,0.01178556,14.98807425,-0.02385966
3.5,14.25800139,0.01128388,14.25779977,-0.02332612
3.6,13.56870421,0.01085309,13.56850529,-0.0227902
3.7,12.91829969,0.01046388,12.91810385,-0.02227004
3.8,12.30427931,0.01000088,12.30408555,-0.02173886
3.9,11.72390563,0.00957797,11.7237136,-0.02129649
4,11.17550101,0.00921427,11.17531105,-0.02082708
4.1,10.65632987,0.00879811,10.65614108,-0.02036894
4.2,10.16568719,0.00837684,10.16549929,-0.01996347
4.3,9.70067697,0.00802347,9.70048972,-0.01955516
4.4,9.26138781,0.00762904,9.26120104,-0.01913333
4.5,8.84487585,0.00723741,8.84469003,-0.01876232
4.6,8.45126976,0.00689459,8.45108353,-0.01838998
4.7,8.07804954,0.00652465,8.07786411,-0.01799887
4.8,7.72490534,0.00617659,7.72472069,-0.01766314
4.9,7.39006399,0.00584453,7.38987885,-0.01730623
5,7.07263659,0.0055113,7.07245179,-0.01696801
5.1,6.77173531,0.00519166,6.77155074,-0.01664075
5.2,6.48595821,0.00488094,6.4857736,-0.01632007
5.3,6.21510128,0.00457955,6.21491709,-0.01600956
5.4,5.95757682,0.00428631,5.95739258,-0.01570253
5.5,5.71339365,0.00400232,5.71320957,-0.01541003
5.6,5.48120358,0.00372946,5.48101976,-0.01511663
5.7,5.26075711,0.00346315,5.26057321,-0.01483997
5.8,5.0512747,0.0032083,5.05109091,-0.01456081
5.9,4.85200746,0.00295728,4.8518236,-0.01430008
6,4.66276044,0.00272275,4.66257645,-0.01403989
6.1,4.48247278,0.00248623,4.48228862,-0.01378775
6.2,4.31114754,0.00226111,4.31096322,-0.01354988
6.3,4.14789502,0.00204736,4.14771039,-0.01331173
6.4,3.99245767,0.00183002,3.99227289,-0.01308262
6.5,3.8444309,0.00162812,3.84424583,-0.01286458
6.6,3.70318999,0.00142685,3.70300475,-0.01264391
6.7,3.56869951,0.00123449,3.56851401,-0.01244129
6.8,3.44023807,0.001046,3.44005225,-0.01223161
6.9,3.31777064,0.00086638,3.3175845,-0.01203545
7,3.2008372,0.00068434,3.20065088,-0.01184239
7.1,3.08911402,0.00051751,3.08892727,-0.01165509
7.2,2.98251618,0.00035476,2.98232925,-0.01146848
7.3,2.88050747,0.00018374,2.88032013,-0.01128749
7.4,2.78311452,0.00003778,2.78292687,-0.0111182
7.5,2.6899305,-0.00011878,2.68974258,-0.01093951
7.6,2.60076857,-0.00026347,2.60058024,-0.01077679
7.7,2.51553875,-0.0004075,2.51535014,-0.01061342
7.8,2.43383318,-0.00054214,2.43364427,-0.01045647
7.9,2.35569473,-0.00067183,2.35550549,-0.01029842
8,2.28079042,-0.0008068,2.28060084,-0.01014868
8.1,2.20899755,-0.00092254,2.20880763,-0.01000391
8.2,2.14023139,-0.00104193,2.14004114,-0.00985495
8.3,2.07420588,-0.00116278,2.07401522,-0.00971393
8.4,2.01092972,-0.00126793,2.01073871,-0.00958398
8.5,1.95016332,-0.00137602,1.94997184,-0.00943867
8.6,1.89182493,-0.00148652,1.89163303,-0.00931534
